Name,Team,Position,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,Freedom,1st Move,2nd Move,3rd Move,4th Move
Mark Evans,Raimon,GK,Earth,191,184,72,72,70,77,68,69,79,35,God Hand,Grenade Shot,Majin The Hand,Triple Defense
Jack Wallside,Raimon,DF,Earth,206,165,62,68,62,66,49,54,54,11,The Wall,Super Armadillo,Mogura Feint,Mega Quake
Jim Wraith,Raimon,DF,Wood,195,140,58,53,75,59,53,62,60,27,Coil Turn,Ushiro no Shoumen,Zanzou,Kage Nui
Bobby Shearer,Raimon,DF,Wood,202,176,76,61,72,76,60,72,72,31,Killer Slide,Blade Attack,Back Tornado,Hurricane Arrow
Tod Ironside,Raimon,DF,Fire,184,161,54,55,53,56,59,56,65,17,Tamanori Pierrot,Suisei Shoot,Monkey Turn,Run Ball Run
Nathan Swift,Raimon,DF,Wind,169,156,64,58,68,54,76,58,56,28,Shippuu Dash,Quick Draw,Bunshin Feint,Honoo no Kazamidori
Steve Grim,Raimon,MF,Wind,154,144,62,64,71,64,71,71,71,24,Rolling Kick,Zigzag Spark,Cyclone,Freeze Shot
Tim Saunders,Raimon,MF,Wood,156,149,63,76,61,60,55,48,58,16,Tatsumaki Senpuu,Kung Fu Head,Bunshin Feint,Bunshin Shoot
Sam Kincaid,Raimon,MF,Fire,167,136,71,57,56,56,52,56,76,15,Grenade Shot,Gorimuchuu,Fake Ball,Twin Boost
Jude Sharp,Raimon,MF,Wind,191,180,63,79,79,79,76,76,68,0,Spinning Cut,Illusion Ball,Twin Boost,Inazuma Break
Maxwell Carson,Raimon,FW,Wind,156,160,60,56,78,64,60,56,62,27,Quick Draw,Spiral Shot,Illusion Ball,Back Tornado
Kevin Dragonfly,Raimon,FW,Wood,195,145,71,60,59,61,60,64,70,16,Zigzag Spark,Jigoku Guruma,Dragon Crash,Dragon Tornado
Axel Blaze,Raimon,FW,Fire,200,176,79,66,76,64,72,68,60,20,Fire Tornado,Heat Tackle,Quick Draw,Inazuma Otoshi
William Glass,Raimon,FW,Wood,147,168,56,51,68,57,56,53,60,14,Super Scan (DF),Super Scan (OF),Divine Arrow,Tamanori Pierrot
Mask,Occult,GK,Wind,165,156,58,56,70,68,56,60,68,0,Killer Blade,Warp Space,Blade Attack,Whirlwind
Zombie,Occult,GK,Earth,200,156,47,46,50,40,51,74,56,0,Sumo Stomp,Doppelganger,Teleport Shot,Horn Train
Styx,Occult,DF,Wood,140,137,60,53,60,52,63,65,58,0,Ghost Pull,Teleport Shot,Black Magic,Phantom Shot
Franky,Occult,DF,Earth,151,156,55,59,47,70,52,61,48,0,Fireball Knuckle,Rocket Kobushi,Blazing Knuckle,Counter Strike
Undead,Occult,DF,Fire,187,132,52,58,56,61,56,79,53,0,Doppelganger,Phantom Shot,Black Magic,Shadow Stitch
Creepy,Occult,DF,Wind,151,152,52,54,57,57,60,54,63,0,Doppelganger,Magic,Ghost Pull,Fake Ball
Jiangshi,Occult,MF,Wind,145,136,55,62,60,52,56,61,62,0,Ghost Pull,Black Magic,Magic,Warp Space
Mummy,Occult,MF,Wood,187,137,54,52,60,52,62,75,61,0,Ghost Pull,Poison Fog,Spider Web,Warp Space
Grave,Occult,MF,Fire,180,144,57,65,60,52,71,56,55,0,Black Magic,Shadow Stitch,Phantom Shot,Whirlwind Cut
Wolfy,Occult,MF,Fire,211,153,61,70,77,52,79,69,67,0,Magic,Phantom Shot,Moonsault,Wild Claw
Ghost,Occult,MF,Wood,143,100,55,50,54,44,48,56,54,0,Ghost Pull,Rolling Hell,Horn Train,Warp Space
Blood,Occult,MF,Earth,184,152,68,52,52,51,56,62,60,0,Phantom Shot,Magic,Poison Fog,Rolling Hell
Dollman,Occult,FW,Wood,129,104,52,53,45,48,49,53,55,0,Phantom Shot,Black Magic,Doppelganger,Rocket Kobushi
Noir,Occult,FW,Wood,121,120,52,45,48,52,52,58,45,0,Black Magic,Psycho Shot,Doppelganger,Death Zone
Alien,Occult,FW,Wind,149,112,48,51,51,50,48,55,44,0,Comet Shot,Psycho Shot,Kung Fu Header,Ghost Pull
Talisman,Occult,FW,Wood,171,165,62,64,56,48,60,62,63,0,Teleport Shot,Phantom Shot,Freeze Shot,Whirlwind Cut
