SDBC;WGFM
Spinning Shoot;SW;Tiro Roteante
Spiral Shot;SW;Colpo a Spirale
Condor Dive;SW;Colpo del Condor
Suisei Shoot;SW;Colpo della Cometa
Cross Drive;SW;Tiro Incrociato
Corodra Shoot;SW;
Back Tornado;SW;Tornado Inverso
Hawk Shot;SW;Tiro del Rapace
Inazuma Otoshi;SW;Trampolino Inazuma
Inazuma Break;SW;Ariete Inazuma
Inazuma 1gou;SW;Doppio Trampolino Inazuma
Divine Arrow;SW;Freccia Saettante
God Knows;SW;Colpo Supremo
Rolling Kick;SG;Rovesciata Volante
Psycho Shot;SG;
Hyakuretsu Shot;SG;Tiro dai Cento Calci
Phantom Shoot;SG;Tiro Fantasma
Freeze Shot;SG;Tiro Congelante
Dragon Crash;SG;Dragon Crash
Run Ball Run;SG;
Kung Fu Head;SG;
Dark Tornado;SG;
Bunshin Shoot;SG;
Koutei Penguin 2gou;SG;
Death Zone;SG;
Grenade Shot;SF;
Meteor Attack;SF;
Patriot Shoot;SF;
Fire Tornado;SF;
Synamite Shoot;SF;
Shine Drive;SF;
Dokonjou Bat;SF;
Twin Boost;SF;
Dragon Tornado;SF;
Honoo no Kazamidori;SF;
Triangle Z;SF;
The Phoenix;SF;
The Galaxy;SF;
Snake Shot;SM;
Tarzan Kick;SM;
Kamikakushi;SM;
Tsuchi Daruma;SM;
Reflect Buster;SM;






