Name,Team,Position,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,Freedom,1st Move,2nd Move,3rd Move,4th Move
Dexter Ambie,Scout,DF,Earth,103,146,68,59,57,54,61,61,52,16,Quick Draw,Tatsumaki Senpuu,,
Chops Denton,Scout,MF,Fire,191,132,79,76,46,70,56,76,53,16,Tamanori Pierrot,Horn Train,,
Stan Trum,Shuriken,FW,Fire,77,134,48,54,58,56,71,59,59,17,Killer Slide,Zigzag Spark,,
Des Tiny,Shuriken,DF,Wood,171,156,52,53,53,59,53,63,62,16,,,,
Rush Tooset,Shuriken,MF,Wood,92,134,69,52,62,63,54,66,53,19,Shippuu Dash,,,
Dec O'Rator,Shuriken,FW,Wind,134,106,55,62,50,45,49,54,59,38,Tarzan Kick,,,
Dougie McFlea,Scout,MF,Wind,171,142,52,56,62,61,57,59,59,25,,,,
Rhys Masher,Scout,MF,Wind,140,102,58,52,49,48,45,55,61,26,,,,
Ty Priter,Shuriken,FW,Fire,209,154,71,53,61,52,62,60,54,17,Rolling Kick,Tatsumaki Senpuu,,
Dave O'Resis,Shuriken,MF,Wood,149,113,48,52,48,44,51,55,52,23,Snake Shot,,,
Horace Coop,Shuriken,DF,Wood,151,116,54,59,44,48,50,60,53,22,,,,
Cal Emarry,Shuriken,GK,Wood,105,150,42,56,52,55,68,57,60,19,Tornado Catch,Spinning Cut,,
Sharkey Gobble,Scout,DF,Wind,160,146,54,62,59,60,57,58,52,8,Fake Ball,Judge Through,,
Per Hockside,Shuriken,FW,Fire,107,150,42,55,57,54,69,67,62,26,,,,
Cam O'Miles,Shuriken,GK,Wood,83,132,70,53,56,63,28,62,55,22,Pressure Punch,,,
Drew Straws,Shuriken,FW,Wood,160,132,60,52,55,55,62,58,52,11,Spinning Shoot,,,
John Maggie,Shuriken,DF,Wood,121,76,76,79,61,72,31,79,72,9,Shikofumi,Toughness Block,,
"Lux ""Botty"" Sidebottom",Scout,GK,Fire,81,158,40,59,52,60,63,61,54,27,Tornado Catch,Shoot Pocket,,
Esau Fagus,Shuriken,FW,Wind,85,156,46,52,46,58,41,43,40,34,Noroi,Kamikakushi,,
Bambis Shakin,Shuriken,FW,Earth,118,134,50,57,59,57,76,55,60,16,Suisei Shoot,Freeze Shot,,
Percy Verence,Shuriken,FW,Fire,127,173,52,62,64,68,68,72,60,27,Super Scan (DF),Super Scan (OF),,
Dwayne Woo,Scout,MF,Wind,169,130,63,63,54,60,56,77,63,19,Killer Slide,,,
Rich Cave,Scout,GK,Fire,81,156,44,63,59,56,63,71,63,24,Tornado Catch,,,
Brook Atwater,Scout,DF,Wind,151,148,57,60,54,56,53,60,59,16,Killer Slide,Rolling Kick,,
Chuck Hardy,Raimon,FW,Wind,173,134,49,57,70,45,52,62,62,15,,,,
Max Scara,Scout,GK,Wind,127,198,62,62,40,40,40,52,52,34,Onryou,Magic,,
Archie Meades,Royal Academy,GK,Wood,118,120,57,54,40,70,49,62,53,20,Pressure Punch,,,
"Noel ""Vacancie"" Vacancies",Scout,GK,Fire,138,194,57,65,59,70,52,62,54,20,,,,
Weldon Wrought,Scout,DF,Wind,165,170,41,55,62,42,62,55,58,17,Monkey Turn,,,
Joe Rassock,Wild,GK,Wind,154,165,44,52,66,48,60,52,60,15,Shoot Pocket,,,
Grant Mardy,Raimon,DF,Wind,121,113,60,55,40,42,40,56,60,20,Doppelganger,,,
Tabor Drummond,Wild,GK,Earth,114,146,40,34,29,55,61,58,57,14,,,,
Rob Freeby,Shuriken,FW,Earth,195,156,65,63,55,67,28,60,56,17,Judge Through,,,
Ace Breaker,Scout,DF,Earth,112,170,57,60,67,71,71,68,70,23,Quick Draw,,,
Loughrey Mose,Shuriken,FW,Wind,143,178,77,69,62,52,52,73,61,21,Phantom Shoot,Hyakuretsu Shot,,
Gill Able,Scout,GK,Fire,211,140,68,52,60,60,59,76,60,21,,,,
Sam Fitspire,Shuriken,GK,Wood,88,136,63,63,42,60,56,64,60,20,Power Shield,The Wall,,
Troy Glodight,Scout,DF,Earth,154,150,60,60,60,79,62,56,52,26,Onryou,Kumo no Ito,,
Ropert Chapp,Scout,DF,Wind,92,148,61,64,50,62,55,63,62,16,Judge Through,Killer Slide,,
Jack Mate,Scout,DF,Wind,136,153,62,68,61,69,53,60,56,14,Killer Slide,Fake Ball,,
"Bill ""Wordsy"" Wordsworthy",Scout,MF,Earth,116,122,45,73,40,43,42,41,46,34,Noroi,Onryou,,
Harry Caine,Scout,GK,Wind,125,161,73,70,60,64,64,60,62,27,Power Shield,,,
Bane Marie,Scout,DF,Earth,112,190,52,67,58,60,56,58,58,22,Grenade Shot,,,
Luther Rio,Scout,GK,Wind,101,142,46,56,55,52,64,69,60,24,Killer Blade,,,
Nester Damus,Scout,GK,Wind,143,156,63,60,63,61,53,54,56,35,Noroi,Killer Blade,,
Ainsley Burns,Shuriken,FW,Earth,171,144,46,58,68,51,60,62,63,17,Grenade Shot,,,
Carey Vanpark,Raimon,MF,Fire,112,101,51,44,45,55,57,63,52,16,Gorimuchuu,Mogura Feint,,
Brock Twigg,Shuriken,MF,Wood,213,190,48,48,51,78,45,49,70,24,Tamanori Pierrot,,,
Marc O'Lepsy,Shuriken,DF,Wood,127,136,68,61,58,60,57,62,57,19,,,,
Burt Mocking,Shuriken,DF,Wood,134,190,61,61,51,51,45,57,58,17,Tamanori Pierrot,,,
Rusty Spoakes,Wild,GK,Fire,138,154,40,36,33,61,68,62,54,22,,,,
"Bobby ""Yeller"" Yellow",Shuriken,GK,Wood,129,100,47,44,46,52,48,49,44,14,Tornado Catch,Tsumuji,,
Paul Rush,Shuriken,MF,Wood,176,156,60,71,60,68,79,62,67,26,Tatsumaki Senpuu,,,
Guile Crocket,Scout,DF,Fire,158,172,63,47,44,61,72,71,66,26,Tatsumaki Senpuu,Condor Dive,,
Claude Snap,Shuriken,FW,Wind,195,154,66,62,61,64,67,68,68,17,Dash Accel,Freeze Shot,,
Ace Bragg,Raimon,MF,Wood,189,152,67,68,65,68,66,67,60,22,Snake Shot,,,
Pete LeGume,Scout,DF,Fire,182,164,62,68,62,64,67,64,60,19,Dash Accel,Spinning Cut,,
Heath Rower,Royal Academy,MF,Wind,160,146,56,56,53,56,59,52,56,34,,,,
Finn Attick,Scout,DF,Wind,182,178,61,61,68,69,60,70,65,19,,,,
Carey Bean,Scout,MF,Fire,160,174,60,49,40,69,68,61,60,25,Rolling Kick,Zanzou,,
